Frame ID,QR ID,QR 2D,QR 3D
182,15,"[[514, 190], [580, 187], [585, 254], [519, 258]]","[2.134887406592264, -168.83649212492205, -15.141162801015263, -6.025618791244089]"
183,15,"[[516, 189], [583, 186], [587, 252], [521, 257]]","[2.130078328122604, -161.81045403412716, -13.759213034345239, -6.272200201173139]"
184,15,"[[518, 185], [585, 182], [588, 249], [523, 253]]","[2.1277424125288347, -162.27812431316715, -15.9332973919582, -6.442509095783716]"
185,15,"[[518, 184], [584, 182], [587, 250], [522, 253]]","[2.1076709412731063, -165.42775683430983, -20.688745155092835, -6.594707310680386]"
186,15,"[[514, 188], [581, 185], [584, 252], [518, 255]]","[2.134029073637237, -175.81918036417196, 1.0793448390637361, -2.3998956263739566]"
187,15,"[[512, 190], [578, 186], [582, 254], [517, 257]]","[2.1293549466290522, -171.754472260557, 6.293133759558579, -1.8869633471161056]"
188,15,"[[511, 189], [576, 186], [580, 254], [514, 257]]","[2.114397640292005, -174.09831991012283, 7.538038383602028, -1.3011305302100824]"
189,15,"[[507, 187], [573, 185], [577, 251], [511, 255]]","[2.149243986568834, -165.4880483800596, -15.810102484814553, -5.756078589579465]"
190,15,"[[503, 185], [569, 182], [573, 249], [507, 253]]","[2.1334885077215624, -175.0072056522504, 3.5359356045124857, -2.377918334271793]"
191,15,"[[497, 182], [563, 179], [567, 246], [501, 250]]","[2.1374562957036263, -175.1542217845656, 3.4841906230659894, -2.37215800233949]"
192,15,"[[491, 181], [557, 179], [561, 246], [495, 250]]","[2.1316950793832445, -163.70405927514213, -21.061505798208216, -7.141159445925344]"
193,15,"[[475, 178], [542, 175], [546, 242], [479, 246]]","[2.137462297117979, -177.36196232410157, 0.7522255125403969, -2.8737591849624873]"
194,15,"[[467, 178], [535, 175], [539, 242], [472, 246]]","[2.143087275099971, -176.53243618725264, -1.6871920369790787, -3.320399949582358]"
195,15,"[[455, 174], [523, 171], [527, 239], [460, 243]]","[2.1307965457068305, -175.0595157414908, 1.2824795052252056, -2.6938825604962076]"
196,15,"[[456, 168], [523, 165], [528, 234], [460, 238]]","[2.108015521343794, -174.7913809508056, 3.89142881676624, -2.220876266011927]"
197,15,"[[469, 159], [538, 158], [541, 227], [472, 229]]","[2.104328943347496, -175.27624472193563, -1.5113890899054638, -1.679704941154278]"
198,15,"[[477, 160], [546, 160], [548, 229], [479, 231]]","[2.0869800028235144, -175.3333341247564, 0.09582711301418734, -0.8224993240523547]"
199,15,"[[477, 145], [547, 146], [546, 216], [477, 216]]","[2.0673459516971073, -177.19030471602207, 2.629471311269921, 1.0468557066185877]"
200,15,"[[455, 144], [525, 144], [525, 214], [456, 215]]","[2.0778297764957023, -177.55878201359883, 2.6737888476986282, 0.23138131390133068]"
201,15,"[[420, 157], [490, 153], [493, 224], [424, 227]]","[2.083314544836211, -178.06492616667578, 3.3549573689732535, -2.16218742686176]"
202,15,"[[399, 154], [469, 152], [472, 222], [402, 225]]","[2.103095426697234, -178.29568859583654, 1.3665423542231798, -1.8213848843251095]"
203,15,"[[378, 153], [447, 150], [452, 221], [383, 225]]","[2.1121813567240357, -175.00464126391083, 4.214121973756442, -2.0029368955713336]"
204,15,"[[370, 144], [440, 142], [444, 213], [375, 216]]","[2.1294813696870944, -174.44709730311814, 2.8327828509946267, -1.474301224510117]"
205,15,"[[365, 139], [435, 136], [440, 207], [371, 211]]","[2.136519247379361, -174.63122256325724, 2.800430439551596, -2.3005582074506794]"
206,15,"[[366, 137], [436, 134], [441, 205], [371, 209]]","[2.1280128877642746, -176.169932993883, 2.3290729232029523, -2.4426242006196492]"
